gene	log2FC	p	padj	n
201787_at	-1.1266625	9.66769957406e-05	0.982784685596076	8
239469_at	-0.533672500000002	0.000120224736933909	0.982784685596076	8
203426_s_at	0.769565	0.000223431986965397	0.982784685596076	8
214455_at	1.4532	0.00030290405511767	0.982784685596076	8
231045_x_at	-0.523174999999997	0.000361639342467757	0.982784685596076	8
244826_at	-0.7715725	0.000396649984678021	0.982784685596076	8
242550_at	-0.6511975	0.000407691922054017	0.982784685596076	8
224677_x_at	-0.543324999999998	0.000416452039825966	0.982784685596076	8
205259_at	0.94689	0.00043541858074339	0.982784685596076	8
1559810_at	0.453629999999999	0.00046196016731791	0.982784685596076	8
208370_s_at	0.684200000000001	0.000467076148036387	0.982784685596076	8
228580_at	-0.788472500000002	0.000494653272401716	0.982784685596076	8
228332_s_at	-0.508550000000003	0.000525744108542839	0.982784685596076	8
1555997_s_at	0.984472499999999	0.000526832911291558	0.982784685596076	8
235657_at	0.711900000000001	0.000571990958970021	0.982784685596076	8
241759_at	-0.553847499999999	0.000594126233473009	0.982784685596076	8
242146_at	-0.635572499999999	0.000676226018587994	0.982784685596076	8
238867_at	0.583057500000001	0.00070357689049296	0.982784685596076	8
224818_at	0.596450000000003	0.000711036331672937	0.982784685596076	8
213325_at	0.890017500000001	0.000713507376842492	0.982784685596076	8
205792_at	-1.98074	0.000738143378261228	0.982784685596076	8
242905_at	0.467412500000001	0.000797056876711776	0.982784685596076	8
220115_s_at	1.6023375	0.000802780012223423	0.982784685596076	8
237107_at	-0.7802725	0.000894249672269277	0.982784685596076	8
205253_at	-0.546337499999997	0.00100712815206343	0.982784685596076	8
202995_s_at	-1.5394925	0.00102838809908676	0.982784685596076	8
202305_s_at	0.529150000000001	0.00111117881267357	0.982784685596076	8
237484_at	0.5324225	0.00112824031696228	0.982784685596076	8
229678_at	-0.754510000000001	0.00117115806843433	0.982784685596076	8
225268_at	0.408175000000002	0.00119412073416846	0.982784685596076	8
232269_x_at	-0.411525000000001	0.00124857429084468	0.982784685596076	8
230071_at	0.907417500000001	0.00132213890985305	0.982784685596076	8
1552470_a_at	-0.603135	0.00136062557608685	0.982784685596076	8
213524_s_at	-1.56275	0.00138845917839602	0.982784685596076	8
227894_at	-0.4386175	0.00142008658929746	0.982784685596076	8
1569484_s_at	-0.450779999999999	0.00145219733995049	0.982784685596076	8
202994_s_at	-1.2927425	0.00148758089894008	0.982784685596076	8
211623_s_at	-0.556600000000001	0.00149097010274749	0.982784685596076	8
201579_at	0.483549999999997	0.00150530014562795	0.982784685596076	8
1558234_at	0.49005	0.00151341361958821	0.982784685596076	8
202308_at	-0.664592499999999	0.00155140762590525	0.982784685596076	8
203463_s_at	0.65497	0.00158924110513732	0.982784685596076	8
223169_s_at	-0.472834999999999	0.00160033309907636	0.982784685596076	8
232746_at	-0.733055	0.00161945033705665	0.982784685596076	8
222717_at	0.7581725	0.00163430731289965	0.982784685596076	8
207191_s_at	-0.722200000000001	0.00165961556606257	0.982784685596076	8
203961_at	-0.404374999999999	0.0016743533410212	0.982784685596076	8
214782_at	-0.4663325	0.00168277768446079	0.982784685596076	8
226944_at	-0.459274999999997	0.00169820410366619	0.982784685596076	8
208579_x_at	0.867632500000003	0.00174463117674163	0.982784685596076	8
219158_s_at	0.5293925	0.00176760250466494	0.982784685596076	8
236193_at	1.43206	0.00178643671073591	0.982784685596076	8
209656_s_at	0.509799999999998	0.00183396274964887	0.982784685596076	8
213010_at	-0.687124999999998	0.00185003640699509	0.982784685596076	8
226465_s_at	0.359025000000004	0.00185310650149258	0.982784685596076	8
225674_at	0.383842499999998	0.00189822218236737	0.982784685596076	8
1557143_at	-0.571332500000001	0.00190590521529684	0.982784685596076	8
209225_x_at	0.491899999999999	0.00192149692180178	0.982784685596076	8
230319_at	1.46454	0.00192896627103372	0.982784685596076	8
204268_at	-0.576627499999999	0.00199335695332107	0.982784685596076	8
230737_s_at	0.471795	0.00211249871813693	0.982784685596076	8
229071_at	-0.6350225	0.0021135348350353	0.982784685596076	8
217097_s_at	0.342759999999999	0.00221463960826034	0.982784685596076	8
203126_at	-0.8406625	0.00222059682949342	0.982784685596076	8
215009_s_at	0.744842500000003	0.00224224549875186	0.982784685596076	8
217310_s_at	-0.455165000000001	0.00230525181698851	0.982784685596076	8
242986_at	-0.6134875	0.00232244334896612	0.982784685596076	8
208546_x_at	0.63822	0.00232306679667179	0.982784685596076	8
218845_at	-0.338537499999997	0.00232497665654515	0.982784685596076	8
212592_at	1.09701	0.00234858160536618	0.982784685596076	8
209604_s_at	0.395790000000002	0.00239730756658751	0.982784685596076	8
202468_s_at	0.598750000000001	0.00240746821375027	0.982784685596076	8
215071_s_at	0.999500000000003	0.00247671839180865	0.982784685596076	8
1553973_a_at	0.686562500000001	0.00249551245243794	0.982784685596076	8
218251_at	-0.516940000000002	0.00250151210213765	0.982784685596076	8
238851_at	-0.3337775	0.00253151797339293	0.982784685596076	8
202009_at	-0.388152500000002	0.00263247345325606	0.982784685596076	8
203224_at	0.431267500000002	0.00265433775451691	0.982784685596076	8
230583_s_at	0.3901625	0.0026742547680144	0.982784685596076	8
209821_at	-1.1550775	0.00267631884238829	0.982784685596076	8
205393_s_at	-0.777332499999999	0.00267923375443412	0.982784685596076	8
235004_at	1.138505	0.00267964212983187	0.982784685596076	8
211992_at	0.346269999999999	0.00270078786842949	0.982784685596076	8
231236_at	0.4946325	0.00274301885524799	0.982784685596076	8
231250_at	0.380277500000001	0.00283133606946162	0.982784685596076	8
216867_s_at	-0.7430775	0.00293642297559791	0.982784685596076	8
225283_at	0.949727500000002	0.00303478000773518	0.982784685596076	8
1554520_at	-0.402305	0.00306082065320846	0.982784685596076	8
228327_x_at	-0.502177499999998	0.00308495590203462	0.982784685596076	8
208523_x_at	0.683825000000001	0.00310343708724749	0.982784685596076	8
1554003_at	0.367587499999999	0.00313056612615279	0.982784685596076	8
230531_at	0.4010525	0.00315464897629529	0.982784685596076	8
229404_at	-0.636400000000002	0.00319873917163195	0.982784685596076	8
240798_at	-0.546392499999999	0.0032039155215918	0.982784685596076	8
227769_at	0.99783	0.00321151136171163	0.982784685596076	8
212400_at	-0.421022500000001	0.00325975014924564	0.982784685596076	8
221666_s_at	-0.340629999999999	0.00329245346589996	0.982784685596076	8
216503_s_at	-0.442530000000001	0.00333465098454048	0.982784685596076	8
225883_at	-0.3588375	0.00336769978602852	0.982784685596076	8
1570331_at	-0.415094999999999	0.00339618282054726	0.982784685596076	8
202996_at	-0.380495	0.00344239437817365	0.982784685596076	8
223298_s_at	0.378217500000003	0.00344771779573155	0.982784685596076	8
212807_s_at	0.583970000000001	0.00346412934573503	0.982784685596076	8
204206_at	-0.3264075	0.0034757324435992	0.982784685596076	8
204120_s_at	0.595419999999998	0.00347888714506092	0.982784685596076	8
223442_at	-0.413694999999999	0.00348971993483525	0.982784685596076	8
208527_x_at	0.744997499999998	0.00350277235755634	0.982784685596076	8
203323_at	0.472975	0.00350865151128922	0.982784685596076	8
241221_at	0.356367499999999	0.00354630455641988	0.982784685596076	8
210119_at	-0.552242499999999	0.00357048934688815	0.982784685596076	8
231769_at	-0.886082500000001	0.00363223771495487	0.982784685596076	8
205868_s_at	0.313674999999999	0.00366743425206137	0.982784685596076	8
212554_at	0.642457499999997	0.00369492865754298	0.982784685596076	8
237172_at	-0.3252525	0.00378010206279248	0.982784685596076	8
1570102_at	0.439122499999999	0.00379465026847602	0.982784685596076	8
201501_s_at	0.390874999999999	0.00380806843502442	0.982784685596076	8
222888_at	0.4087175	0.00388058681012268	0.982784685596076	8
206593_s_at	-0.334955000000003	0.00390029554515315	0.982784685596076	8
218820_at	-0.677990000000001	0.00391369769339835	0.982784685596076	8
225666_at	-0.90002	0.0039153526402685	0.982784685596076	8
201188_s_at	-0.5368925	0.00393687347544249	0.982784685596076	8
211822_s_at	-0.372520000000001	0.00394381244628596	0.982784685596076	8
230163_at	0.5177175	0.00398578137333271	0.982784685596076	8
203324_s_at	0.357874999999998	0.00404005495233637	0.982784685596076	8
209074_s_at	0.3740875	0.00405516410156773	0.982784685596076	8
220326_s_at	-0.388442499999998	0.00412498536393457	0.982784685596076	8
225390_s_at	-0.673285	0.0041481428888054	0.982784685596076	8
227503_at	0.623225000000001	0.00415402441926289	0.982784685596076	8
201790_s_at	-0.501292500000002	0.00417608860372983	0.982784685596076	8
203810_at	0.483324999999997	0.00419846599243429	0.982784685596076	8
1560297_at	-0.377952500000002	0.00421318599881104	0.982784685596076	8
202201_at	-0.432850000000002	0.00421652093500517	0.982784685596076	8
205100_at	-0.654500000000001	0.00422396021377716	0.982784685596076	8
215116_s_at	-0.791190000000001	0.00423516176866354	0.982784685596076	8
219582_at	0.7486575	0.00425150992152945	0.982784685596076	8
243846_x_at	0.342667500000001	0.0042713396007861	0.982784685596076	8
231380_at	0.725732499999999	0.00428643325855568	0.982784685596076	8
228150_at	-0.7670975	0.00434728167392172	0.982784685596076	8
226539_s_at	-0.4811375	0.00435833886113837	0.982784685596076	8
201307_at	0.497475	0.00443738261050415	0.982784685596076	8
226303_at	1.4243025	0.00443803786897244	0.982784685596076	8
212507_at	0.506775000000001	0.00447641741234136	0.982784685596076	8
221837_at	-0.432199999999999	0.0044764956337582	0.982784685596076	8
238166_s_at	-0.43927	0.00450761239903092	0.982784685596076	8
230703_at	0.376457499999999	0.00450882033855958	0.982784685596076	8
242397_at	0.449389999999999	0.00452961138891201	0.982784685596076	8
222486_s_at	0.646927499999999	0.00455535669123627	0.982784685596076	8
244680_at	0.455395	0.00459027738096602	0.982784685596076	8
235599_at	-0.385445	0.00459204621788056	0.982784685596076	8
210941_at	0.4887725	0.00459267703604896	0.982784685596076	8
230693_at	0.3178475	0.00463298692182045	0.982784685596076	8
1566456_at	0.446482500000001	0.00463636785822668	0.982784685596076	8
213661_at	-0.492125	0.00463897825975672	0.982784685596076	8
243382_at	0.315909999999999	0.00464703966299399	0.982784685596076	8
215961_at	0.362655	0.00464830677854743	0.982784685596076	8
235606_at	0.73885	0.00465531671329986	0.982784685596076	8
209864_at	-0.41758	0.00469794830651889	0.982784685596076	8
208924_at	0.399499999999996	0.00475752151600476	0.982784685596076	8
232035_at	1.5089125	0.0047718470962524	0.982784685596076	8
236772_s_at	-0.621095	0.00477418719781843	0.982784685596076	8
239439_at	0.534325000000001	0.00481296256500796	0.982784685596076	8
1559108_at	0.567629999999999	0.00481299823110094	0.982784685596076	8
205461_at	-0.319275000000001	0.00481868762372058	0.982784685596076	8
238735_at	-0.488755000000001	0.00483559411760977	0.982784685596076	8
205028_at	0.468225000000001	0.0048382182824794	0.982784685596076	8
219380_x_at	0.385505000000002	0.00485814769749332	0.982784685596076	8
203668_at	-0.386147500000003	0.0048691214119178	0.982784685596076	8
212151_at	-0.578349999999999	0.00487413671397433	0.982784685596076	8
205640_at	-0.400779999999999	0.00488118927743553	0.982784685596076	8
225807_at	0.463415000000001	0.00489004055384888	0.982784685596076	8
216109_at	-0.483875000000001	0.00489680588444065	0.982784685596076	8
230198_at	0.553400000000001	0.00490846994127052	0.982784685596076	8
230998_at	-0.524925000000001	0.00492117683771718	0.982784685596076	8
65438_at	-0.478007499999999	0.00492180240615524	0.982784685596076	8
203903_s_at	-1.02284	0.00493503627598243	0.982784685596076	8
1559965_at	1.0302925	0.00497601102706882	0.982784685596076	8
238142_at	-0.8321925	0.00497692399693412	0.982784685596076	8
238744_at	-0.4573575	0.00497943078380964	0.982784685596076	8
212188_at	1.33439	0.00499329504491314	0.982784685596076	8
36545_s_at	-0.364120000000001	0.00503355991844666	0.982784685596076	8
232979_at	-0.543300000000001	0.00506848432667809	0.982784685596076	8
237945_at	0.49783	0.00510367736988742	0.982784685596076	8
243773_at	0.28619	0.00511552988512373	0.982784685596076	8
228575_at	-1.4393925	0.00515770461881302	0.982784685596076	8
1559139_at	-0.611067499999999	0.00520868446076171	0.982784685596076	8
205796_at	0.475552499999996	0.00524839150988544	0.982784685596076	8
242838_at	-0.5352625	0.00526349575455942	0.982784685596076	8
219032_x_at	0.547894999999999	0.00528964240746132	0.982784685596076	8
1557664_at	0.318532500000001	0.00530518459677838	0.982784685596076	8
232230_at	-0.301092500000001	0.00539744070784398	0.982784685596076	8
220254_at	0.343387499999999	0.00542922386596646	0.982784685596076	8
214258_x_at	-0.320754999999998	0.00543363287620776	0.982784685596076	8
236545_at	-0.473564999999999	0.00543793488546669	0.982784685596076	8
228815_s_at	0.365765	0.00546166523535642	0.982784685596076	8
230466_s_at	0.50837	0.0055126218777669	0.982784685596076	8
