gene	log2FC	p	padj	n
PRPF40B	147.435964912281	1.54457368851346e-05	0.738498467155469	37
PLIN5	-24.1333333333333	3.80748707923048e-05	0.738498467155469	37
C1orf131	-216.243274853801	4.8023889562064e-05	0.738498467155469	37
H2AC15	-31.5301169590643	8.10302747993738e-05	0.738498467155469	37
RPUSD3	-61.8587719298245	8.60353143952194e-05	0.738498467155469	37
AP2A2	189.960818713451	9.45494150907779e-05	0.738498467155469	37
DOCK1	-25.8505847953216	0.000115286339727954	0.770991490112788	37
SEPSECS	104.715497076023	0.00014284547942522	0.770991490112788	37
STK32A	-42.6517543859648	0.00017056798185458	0.770991490112788	37
MCAM	-125.990058479532	0.000196284336201542	0.770991490112788	37
NAA80	73.4973684210526	0.000241982932049871	0.770991490112788	37
FBXO22	-91.1187134502923	0.000246407223857596	0.770991490112788	37
SEZ6	-159.123391812865	0.000249096024922242	0.770991490112788	37
ODAD2	-110.661988304093	0.000267154618515071	0.770991490112788	37
NUDT3	424.891520467836	0.000284901993211226	0.770991490112788	37
WIPF2	232.451754385966	0.000296128418699013	0.770991490112788	37
MRRF	-154.434795321637	0.000342956234233748	0.821237265682802	37
LCP2	-54.7017543859648	0.000345467894114393	0.821237265682802	37
DRG2	151.530701754386	0.000401596616654664	0.846423788384867	37
CNTFR	-77.5865497076022	0.000439533757389818	0.846423788384867	37
MIR3681HG	-113.802046783626	0.000462932197731562	0.846423788384867	37
RHPN1-AS1	-106.593274853801	0.000479911064287716	0.846423788384867	37
ALDOAP2	-48.0429824561403	0.000553090535958145	0.884502931241737	37
FAM219B	273.541228070176	0.000583404017639009	0.884502931241737	37
RAB12	-492.666081871344	0.000605414466830327	0.884502931241737	37
SARS1	-53.8643274853801	0.000643704098988591	0.884502931241737	37
LINC02905	-45.4631578947368	0.000645460622252375	0.884502931241737	37
FAM182B	-45.1502923976608	0.000648849420218833	0.884502931241737	37
BLOC1S5	175.038888888889	0.00066004241619501	0.884502931241737	37
DYNC2I1	66.274269005848	0.000668445948289776	0.884502931241737	37
ZNF625	-51.0637426900584	0.000679453554863337	0.884502931241737	37
LINC00868	-125.512865497076	0.000740545085999713	0.907452821592534	37
EHBP1L1	103.338596491228	0.000747576828095671	0.907452821592534	37
NAA15	-74.998245614035	0.000786616000773967	0.907452821592534	37
DCAF8	229.822222222223	0.000787090052058087	0.907452821592534	37
CDKL5	-65.4017543859649	0.000794987464896589	0.907452821592534	37
DBIL5P	-46.0456140350877	0.000829860833646579	0.907452821592534	37
SLC50A1	185.347953216374	0.000879641370511692	0.909295102581847	37
LINC02043	-138.415204678362	0.000887979356622715	0.909295102581847	37
USB1	-67.3614035087719	0.000889192580594105	0.909295102581847	37
TEX264	81.3730994152048	0.000914700148916353	0.909295102581847	37
PDX1	-59.6672514619883	0.000959545558929023	0.923845229615523	37
RBM48	-63.1716374269004	0.00101104578228311	0.923845229615523	37
PEF1	240.895906432749	0.00102641020170785	0.923845229615523	37
MRPL50	-195.605263157895	0.0010305539531658	0.923845229615523	37
PPEF1	-50.5605263157895	0.0010331667906511	0.923845229615523	37
RSRC1	-79.8622807017542	0.00104618915967514	0.923845229615523	37
NAPEPLD	-63.1622807017543	0.0010645130217792	0.923845229615523	37
NBR1	55.054970760234	0.00109434233124967	0.931118641517271	37
PPP2R2B	-85.1204678362572	0.00110695403198212	0.931118641517271	37
COL6A6	38.3850877192983	0.00133585002913364	0.963695041807515	37
TRAV12-1	-48.2774853801169	0.00135080368443193	0.963695041807515	37
CTDSPL	477.704678362574	0.00137520342492142	0.963695041807515	37
MAF1	376.332748538013	0.0014536046001799	0.963695041807515	37
LARS1	-352.411988304093	0.00155573437649999	0.963695041807515	37
LOC100294145	48.1254385964913	0.00158641178703624	0.963695041807515	37
LZTS1	-42.6815789473684	0.00159231843699413	0.963695041807515	37
RPAIN	75.2482456140352	0.00160549826915837	0.963695041807515	37
HEATR9	-45.4467836257309	0.00161787588124198	0.963695041807515	37
ACSF3	68.345321637427	0.00162524641696733	0.963695041807515	37
BRIX1	-83.6213450292396	0.0016543550049034	0.963695041807515	37
WDR36	-74.3406432748536	0.00165501606251676	0.963695041807515	37
SPEN	94.2578947368421	0.00169591560815762	0.963695041807515	37
HBD	-174.206140350877	0.00171360183400452	0.963695041807515	37
STAG3L4	-102.36783625731	0.00171555044089306	0.963695041807515	37
HAMP	-88.0347953216373	0.00179305568013953	0.963695041807515	37
FBXO2	-93.3713450292397	0.00180182500708542	0.963695041807515	37
MOCS1	-45.2932748538012	0.00183661721065764	0.963695041807515	37
BABAM2	311.295614035088	0.00183897959394646	0.963695041807515	37
