Gene	log2FC	P.Value	adj.P.Val	n
TBX5-AS1	-1.83301860476169	2.91376534093616e-16	7.16990237444161e-12	16
ALDH1A1	-0.838773791277282	1.1636724848214e-15	1.43172444170001e-11	16
ZIC1	4.13809926332497	2.68831634601968e-12	2.20504667755021e-08	16
SHOX2	1.81838991825302	7.72872898398866e-12	4.75452085272523e-08	16
ZIC4	3.57616514913309	2.89127549009135e-11	1.40197358048862e-07	16
HOXA9	-0.988728599548323	3.41847502049487e-11	1.40197358048862e-07	16
HOXA-AS2	-1.5408960391829	4.79320268643643e-11	1.68494769293059e-07	16
IRX2	-1.13254796524922	2.54155460857712e-10	7.36437099461204e-07	16
TBX5	-1.13619499537275	2.70879409313278e-10	7.36437099461204e-07	16
HOXC13	5.36675404457721	2.99279513740482e-10	7.36437099461204e-07	16
SATB2-AS1	-1.34469600937002	3.50754278229422e-10	7.53937286189365e-07	16
MRPS6	-0.49589435869439	3.67669664496785e-10	7.53937286189365e-07	16
HOXA7	-1.50974298213543	5.51594100631975e-10	1.04408277186546e-06	16
HOXC11	2.75889059112144	6.45541951136709e-10	1.1346321994015e-06	16
HOXA-AS3	-1.76346594461581	9.20645131445636e-10	1.51028764996552e-06	16
DMRT2	-1.20675086968038	1.33537263279312e-09	2.05371964844626e-06	16
AL590004.3	1.48014188865495	1.54631124859977e-09	2.23824005260557e-06	16
PITX2	-2.68640356221182	3.39426923425926e-09	4.64015461374543e-06	16
AC106881.1	-2.36974037593581	4.12796095481447e-09	5.34614395869051e-06	16
HOXB8	-1.63077526518486	4.56018750191403e-09	5.61062669297993e-06	16
LAMA4	-0.380205917656194	1.19366230871816e-08	1.39868802050609e-05	16
KCNK3	1.74064977933327	1.74036858450008e-08	1.94660226176334e-05	16
HOXA6	-1.75083212039541	3.44984435883006e-08	3.69088348424919e-05	16
HOXC12	4.4312336875728	5.75674590647379e-08	5.90234360502503e-05	16
MAB21L1	-1.35270552349725	1.47867326607476e-07	0.000145542852233207	16
GDF6	-2.26528554565533	1.65669947383652e-07	0.00015679386135652	16
IGHD	1.73727039769219	1.81818884742795e-07	0.000165704344328368	16
ARPP21	-2.95232727618922	2.03692396330177e-07	0.000179009242732024	16
EYA1	-1.74832586057698	3.38849718582961e-07	0.00028751982845417	16
SCCPDH	0.655994097264715	4.37558388262604e-07	0.000358899975332597	16
TBX3	-0.503555663578074	5.45960787562614e-07	0.000422104412653034	16
SLC1A4	0.769208905539906	5.48922713248145e-07	0.000422104412653034	16
HAND2	-1.10999039654558	6.13609768734699e-07	0.000448604864667543	16
HPSE2	-0.810956911218533	6.19846604571727e-07	0.000448604864667543	16
HOXC13-AS	3.95887509492838	6.31868042597989e-07	NA	16
HOTAIR	3.81003732943221	6.79794098188246e-07	0.000477934096403376	16
COMP	2.84995078745828	7.5932472999231e-07	0.000519019545303355	16
RARB	-0.933718149118254	1.31586591132812e-06	0.000873321162532351	16
CSP1	-0.9124346822895	1.34864892820048e-06	0.000873321162532351	16
LINC01305	-1.4706667886904	1.55469173991765e-06	0.000953144358211205	16
AL591463.1	-1.13515523667786	1.56239950000603e-06	0.000953144358211205	16
MYRFL	1.95419644367214	1.59331646491299e-06	0.000953144358211205	16
LINC02082	-1.16692236168535	1.62685670926446e-06	0.000953144358211205	16
SKAP2	-0.982270262752602	1.78840308317297e-06	0.00102342406203808	16
PITX1	1.40985775264912	2.08910458558295e-06	0.00116833173948727	16
HOXB6	-0.814014683274593	2.3474724256876e-06	0.00128365008841988	16
CPN2	2.45578500114945	2.43642512298914e-06	0.00130332854350856	16
DUSP10	0.50681231198589	3.53336265599051e-06	0.00184990329523316	16
GLYAT	-0.543019937472545	3.84740226248486e-06	0.0019723547390201	16
AC117489.1	-0.997994270508824	3.93412314472616e-06	0.00197565241269952	16
ZNF204P	-0.438132327487797	4.21573829228451e-06	0.0020747334431649	16
ACSF2	0.679620907180373	4.35732302324807e-06	0.00208538849767013	16
VAV2	0.448941029310145	4.40688429629157e-06	0.00208538849767013	16
MEIS1	-0.484534296944285	4.52327119990552e-06	0.00210007800785048	16
DACT3	0.844313537006793	4.63074859430862e-06	0.00211016353074356	16
SLC5A3	-0.648970512087301	5.41366846381649e-06	0.0024220752707115	16
IGKV3-20	2.08197960133047	6.01608973183279e-06	0.0026435342862716	16
NR2F1-AS1	-0.647840970245154	6.52356904135767e-06	0.00281623620001208	16
BTBD8	-0.400518028918399	7.31601501870511e-06	0.00310388244078063	16
CNTN6	-1.64455054029934	7.67430702283648e-06	0.00317059637626977	16
KLLN	-0.9134931009317	7.73096202609771e-06	0.00317059637626977	16
HEXD	0.687842606323128	8.58704981229715e-06	0.00346395958575731	16
LINC01370	2.88022432881811	9.95042381743139e-06	0.00394259244055687	16
PKP3	1.26464954871979	1.0094010799979e-05	0.00394259244055687	16
HOXA3	-1.34228919530329	1.12149218585946e-05	0.0043119622214756	16
GASK1A	-0.663338644791172	1.17645016462607e-05	0.00445367833860827	16
HOXA13	1.55269523299986	1.24575829940539e-05	0.00464460219294976	16
AL391422.4	0.513650970589453	1.34535642015613e-05	0.0049410724523555	16
ALX1	-3.98577039732068	1.44214312676796e-05	0.00521864940005575	16
DNAH6	-0.607372912517876	2.05431826182223e-05	0.00726711679331551	16
ZDBF2	-0.490217359271469	2.0672905089287e-05	0.00726711679331551	16
ST3GAL1	0.354837638779256	2.32721652408253e-05	0.00806560802930969	16
NDN	-0.349444313240348	2.42448048791627e-05	0.00828599880085494	16
AC090337.2	1.28058956906829	2.55976554679015e-05	0.00862851380957059	16
CYP19A1	2.17271839816839	2.60107208397994e-05	0.00864926767168845	16
CCNG1	-0.308164548951899	2.83000696369967e-05	0.00928506418076769	16
AL391422.2	2.10744639890481	2.89965588530427e-05	0.0093883989960108	16
AC004160.1	-0.524723770360321	2.97004657511787e-05	0.00949142026934097	16
LMX1B	1.96186757713389	3.23718055623206e-05	0.0102124746086157	16
AC091939.1	1.15372316992543	3.28428113607621e-05	0.0102299121411933	16
ANKDD1A	0.738105644473338	3.46124757185758e-05	0.0106463648750874	16
LINC01230	-1.01784508358654	3.50767334407548e-05	0.0106559651824278	16
DMRT3	-1.24533015029611	3.57974691976417e-05	0.0107422966408094	16
AC010941.1	1.74273226077189	3.87785015932518e-05	0.0114966576952427	16
CHL1	-0.852900764029418	4.02168722663447e-05	0.0117811497125946	16
MROH2A	2.84756046571027	4.14317267715751e-05	0.011892287273639	16
SLC22A12	1.17740247131949	4.156283600329e-05	0.011892287273639	16
FGF10	-1.31947581647444	4.27875513029616e-05	0.0121019916656549	16
IGHV2-5	2.26841572477797	4.39895803275949e-05	0.0123005863991037	16
FOXP2	-0.651158767396332	4.44966664827242e-05	0.0123025783386561	16
IGHV1-24	2.62215418583087	4.54690670341922e-05	0.0123430981651909	16
APOB	-1.80147688533862	4.61109987351144e-05	0.0123430981651909	16
RGS22	-0.628839065415813	4.65664450419441e-05	0.0123430981651909	16
CDKL1	-0.467441690319567	4.66496577950481e-05	0.0123430981651909	16
PCDH18	-0.467623845560518	5.0244430400261e-05	0.0131528159453109	16
MCTP1	0.391554464837593	5.45992791288959e-05	0.014142362752892	16
TBX4	-1.45929517512882	6.0496652390531e-05	0.0155066783893104	16
TRHDE-AS1	-0.768597770922102	6.15330382486264e-05	0.0156097265173603	16
AC004160.2	-0.723677026052178	6.48200847249127e-05	0.0162757941308768	16
TCEANC2	-0.257464549622782	7.13692628149738e-05	0.0177392267685663	16
PRELID1P6	-1.10655021140375	7.47059602461529e-05	0.0183828956377708	16
IGSF1	-1.19091683899704	7.96517286336429e-05	0.0192282013155044	16
NLGN1	-0.645418086296321	7.97040083789752e-05	0.0192282013155044	16
TEAD1	-0.293634941299455	8.1596257266768e-05	0.0193443055227729	16
MTREX	-0.158814464640716	8.17575394956064e-05	0.0193443055227729	16
AC091891.1	-3.36056570967749	8.7862376070605e-05	NA	16
PHLDB2	-0.347661021541503	8.80584621371865e-05	0.0206367102648547	16
PHLDA2	1.83833212320572	9.5887127594901e-05	0.0222593825351672	16
PLA2G2A	1.50231566016861	9.99110180834937e-05	0.0228825469523104	16
VASN	0.351088275076265	0.000100431384193503	0.0228825469523104	16
LINC01044	-1.35299818407115	0.000102873499628443	0.0232239284895147	16
SIX2	0.740618582485216	0.000105135525760929	0.0235188171127197	16
LINC01043	-1.09416518077167	0.000111016582927238	0.024610676180996	16
FGF14	-0.733351273818797	0.000113894996249545	0.0248492634335709	16
NNAT	-1.4242742158817	0.0001141125195267	0.0248492634335709	16
GFI1	0.839306885054881	0.00012491194949356	0.0269623538700705	16
LINC02257	1.10207434569292	0.000128874311950136	0.0275757408187564	16
SH3BP4	0.29988488399233	0.000133933786426801	0.0283661923760096	16
MACROD2	-0.625735676172582	0.000134873999593332	0.0283661923760096	16
NR2F1	-0.787826094976706	0.000136471443087702	0.0284589220343989	16
DPT	-0.917367939047874	0.000138652952462038	0.0285611821234032	16
PDZRN3	-0.769700733633051	0.000139296779331358	0.0285611821234032	16
SP9	-1.97027426186469	0.000140443899578648	0.0285611821234032	16
KCNE4	0.558642261811747	0.000145103811870949	0.0292669631041675	16
CYP1B1	1.1608162035734	0.000147983365130806	0.0294242341776178	16
RSPO2	3.54602616881417	0.000148203937730795	NA	16
IGHGP	1.98561097572327	0.000148275085870874	0.0294242341776178	16
LINC02621	1.60275662213176	0.000151769843167349	0.0298268469752129	16
