Gene	log2FC	P.Value	adj.P.Val	n
CCDC146	-0.408939826253314	0.000152728195996132	0.0298268469752129	16
HOXA5	-1.79351093439134	0.000155357409207338	0.0301014154989367	16
PCLO	-1.07039569143187	0.000169937124593361	0.0326690845692877	16
LINC01359	-0.502250428278834	0.000175070361269027	0.0333950106957127	16
AL137060.3	0.798408369930602	0.000178002054717364	0.0334628469885579	16
AKAP12	-0.64587699697087	0.000178145769720043	0.0334628469885579	16
KLHL29	0.70361984275985	0.00018089055587567	0.0336644978560669	16
HSPA4L	-0.619813115525163	0.00018195546856004	0.0336644978560669	16
TOX	0.864296518890465	0.000183361529942949	0.0336714713978071	16
NECTIN1	0.329327731693901	0.000185825558821973	0.033783100986792	16
SLC14A2-AS1	-1.33679018624781	0.000186715232828208	0.033783100986792	16
IGHV4-31	2.2604691537597	0.000188244180095063	0.0338111280262716	16
SP7	1.12017400609256	0.000205326649861873	0.0361265383181486	16
ARMCX1	-0.255266945566124	0.000205512319844645	0.0361265383181486	16
LRIG2-DT	-0.609906733343372	0.000205539698644321	0.0361265383181486	16
MPP6	-0.38338152438127	0.000213540173836419	0.0370263347562899	16
HOXB7	-0.717565761639269	0.000213668449440938	0.0370263347562899	16
ARHGAP6	0.340280446724633	0.000218866955630095	0.0376619522880402	16
RAB5IF	0.637606584252172	0.000223869898717139	0.0382553235953655	16
WDPCP	-0.594891421168765	0.000229257336805874	0.0389057605984975	16
HOXA2	-0.705919932654008	0.000234680916361356	0.0395533788281089	16
AF274855.1	-0.702711101842014	0.000237608372472474	0.0397743484451032	16
BMP4	-0.551247765371252	0.000242174144869195	0.040264724208083	16
MYEOV	1.11591559783996	0.000249633758711521	0.0412264288631838	16
CRYBG3	-0.20760995599028	0.00025154725562812	0.041265488794941	16
ANTXR1	-0.232328241915608	0.000255121479777367	0.0415746639263687	16
RDH10	-0.280735942175512	0.00026299707289936	0.0425761116633853	16
UPP1	0.468390699530365	0.000265904135068685	0.0427653794224518	16
RBP4	0.549996390717165	0.000269958313850007	0.0429658873157737	16
AC015922.3	-0.547559036724333	0.000270643009466612	0.0429658873157737	16
CDH10	3.21145903803529	0.000278397627041002	NA	16
LINC01089	-0.296001823450253	0.000282602392116229	0.044576904248744	16
IGHV3-15	1.36660696842479	0.000291260854199408	0.0454915377396233	16
TNFSF15	0.937039083231072	0.000292098303850957	0.0454915377396233	16
ACTG2	1.13857828442298	0.000294418104144116	0.0455644420671337	16
VEGFC	-0.514732345325463	0.000297795687326693	0.0457991154877996	16
DNA2	-0.398000998459303	0.000303038787446755	0.0463159965385236	16
HMOX1	0.740879634882545	0.000308519159523091	0.0468625367801525	16
AP000941.1	-0.373085255620191	0.000310901621293248	0.0469347005838219	16
HSPB2	-0.470654117573632	0.000321164546630201	0.0479140318455844	16
PROKR1	-0.995379241448259	0.000322033880073982	0.0479140318455844	16
PTCHD3P3	-1.05453539875421	0.000323230352597513	0.0479140318455844	16
AL137786.1	-1.26825478406805	0.00032651363115197	0.048110903723093	16
FOXCUT	1.08658877878229	0.0003398414249994	0.0497766544342871	16
MERTK	0.42386117369489	0.000345930415499594	0.0503686966520622	16
RPP25	0.371295813347807	0.000353199624953821	0.0507137624610211	16
FST	-0.511865054689685	0.000356961488477655	0.0507137624610211	16
IGHJ5	1.58998120166417	0.000359135826421154	0.0507137624610211	16
HOXC-AS3	1.32840993458243	0.000359751035152805	0.0507137624610211	16
SH3D19	-0.321544303840303	0.000359862019576615	0.0507137624610211	16
SIM2	-0.77265409531049	0.000360666006854907	0.0507137624610211	16
HOXC8	-0.642587588118253	0.000369182750420644	0.051488632810119	16
RANBP3L	-0.922461119114454	0.00037036160472187	0.051488632810119	16
INSYN1	0.634403515633399	0.00037857180184196	0.0523343613928377	16
IGHV5-51	1.60742249461604	0.000387845743169855	0.0533168726378805	16
MMP3	1.4451833663156	0.0003933777861225	0.0537769287950908	16
ADRB3	-2.47032389747486	0.000396373574310382	0.053887096922959	16
CCDC170	-0.312244453993872	0.00040287086568213	0.0544694691859351	16
NCS1	0.600631783588557	0.000413032863268297	0.0555382495434043	16
HOXC10	0.505499642948448	0.000417245685981574	0.0557998075812423	16
LINC02432	1.15105983872626	0.000420838264379045	0.0559760387652711	16
AC100805.1	-0.785599299709096	0.000424937499736878	0.056217403527018	16
IGHG3	2.08861646148379	0.000433719166040649	0.0570723396725254	16
PENK	-0.846630786342906	0.000442195333402034	0.0578781945160844	16
RPL19P16	-2.18890878404303	0.000446341278371424	0.058111745168707	16
LINC02860	-1.23262263805123	0.00045603741012258	0.0585241279317528	16
LRIG3	-0.256991331619821	0.000456424702867571	0.0585241279317528	16
HCG11	-0.285694285732166	0.000456643742142339	0.0585241279317528	16
CERS3-AS1	-1.71492358300363	0.000459256564465178	0.0585540221854644	16
IGHV4-39	1.86130680745	0.000474651947075675	0.0602049508334594	16
CAT	-0.300826883311198	0.000489801228522623	0.061476730168013	16
ABLIM2	0.44648982651791	0.000490621528243102	0.061476730168013	16
SPEG	0.907879797554827	0.000492173602759319	0.061476730168013	16
SLC22A3	-0.636585620077715	0.000495895778502998	0.0616288253617337	16
HR	0.98095292537759	0.000499965625159165	0.0618223826044802	16
NPM1P11	-0.878121101669846	0.000513574712366659	0.0631876647360319	16
LINC02593	1.34518793118233	0.000519616913128839	0.0636130018973201	16
ASPA	-0.415824259694888	0.000522638337846189	0.0636661464325801	16
DNER	-1.65134945703086	0.000538306026973282	0.0652517064321752	16
AGPAT3	0.262424585119047	0.000547948914949408	0.0657815577833122	16
ECEL1	1.49528883967922	0.000549846830062424	0.0657815577833122	16
PCSK6	-0.837556349967655	0.000550696992862288	0.0657815577833122	16
UGT1A1	3.92867272947532	0.000553312488706678	NA	16
LOXL4	0.673978100884607	0.000560073792958376	0.0662367511060784	16
RRAGB	-0.242452765702502	0.000561889999199586	0.0662367511060784	16
SKIDA1	-0.641727955777393	0.000562583044709651	0.0662367511060784	16
DKK2	-1.13534362994254	0.000586875575971374	0.0687678442758457	16
CYP4Z1	-0.959201436777571	0.000610015266645878	0.0711405007884129	16
CRY1	0.305922533014187	0.0006336458450632	0.0735477514597649	16
TOM1L1	-0.35156506051444	0.000641971959481537	0.0741643380608553	16
CACNA2D1-AS1	0.657483984300716	0.00064694035601369	0.0743890716842471	16
IGLV1-40	2.39498290298432	0.000653961640326863	0.0748466701559214	16
IGF2	1.40002539538623	0.000666535714371955	0.0757340533409125	16
AC011239.1	1.27803471865687	0.000667870507375057	0.0757340533409125	16
B3GNT7	0.776972783659123	0.000671898806688185	0.0758413483310833	16
AL359844.1	-1.23819534047056	0.000679821409351616	0.0763852302279233	16
PHLDB3	0.655369459780644	0.000700330490306387	0.0776530838563411	16
CLEC3B	0.554549380754542	0.000700390452268539	0.0776530838563411	16
OPTN	-0.260240288416462	0.000700572382497165	0.0776530838563411	16
NLE1	-0.297546033270529	0.000711186862547305	0.0784761216444015	16
KCNG1	2.09236865989794	0.000729019944958575	0.0800847936856949	16
SRSF4	-0.212112224358009	0.00073692699560378	0.0805936114703209	16
PEX2	-0.187889542246209	0.000740523009801254	0.0806285385052189	16
MORC4	-0.296874408954665	0.000750250957810362	0.0812155191031752	16
AC073225.1	-1.50031362281965	0.000753147016454503	0.0812155191031752	16
STXBP6	-0.505442946375056	0.000755815575837246	0.0812155191031752	16
SLC8A1	0.392008640612747	0.000777493893352103	0.0831817053639791	16
ECM2	-0.407660946653864	0.000796880132177082	0.0848867074133396	16
KRT16	2.1608110667614	0.000800729789242927	0.0849291289823307	16
HNRNPA1P66	-0.734239873820007	0.000813153734395867	0.0856677145026419	16
PTH2R	1.46907366636575	0.000814656203259975	0.0856677145026419	16
LINC02504	-0.881201780313913	0.00086589333254462	0.090668243548619	16
SMIM7	-0.156239849943728	0.00087246515098006	0.0909692795346031	16
TLR3	-0.409485866828438	0.000911682447466848	0.0946572573199018	16
LAMC1	-0.272833039856066	0.000922048002701102	0.0953312403464959	16
AC010872.2	-3.98018165438316	0.000928938750358461	0.095641823556781	16
CECR2	-1.38052728434729	0.00094003817740892	0.0963813309645887	16
COL8A1	-1.17776817336302	0.000952563455548008	0.0971515229843461	16
KCNA4	-1.26011852634949	0.000957165442658148	0.0971515229843461	16
TMEM131L	-0.363191008092645	0.000962742941982619	0.0971515229843461	16
ADRB1	-0.896339446602284	0.000963342610158916	0.0971515229843461	16
COL4A5	-0.632453044481067	0.000976209483915242	0.0980472929416422	16
EGFEM1P	-0.775047207603207	0.000999785535343548	0.100007002716255	16
ALDH4A1	-0.446404674032874	0.0010045631049441	0.100078074183642	16
FOXC1	0.681649696044548	0.00101011329683741	0.100125047022018	16
AC107029.2	-1.44186281410226	0.00101317254067877	0.100125047022018	16
NOTCH2	-0.23868069480217	0.00102882238805598	0.101264930011574	16
XG	-0.469704111888435	0.00103510926136994	0.101477823085777	16
AADAC	-1.36158583843452	0.00104317049445121	0.101805264864131	16
FGF1	0.784700136220009	0.0010467237782186	0.101805264864131	16
IFITM9P	2.03555545724644	0.00104765959831104	NA	16
CHCHD10	0.414806107542784	0.0010546182581997	0.102039865322083	16
CLPB	0.247744888343138	0.00105742941671602	0.102039865322083	16
PDZRN3-AS1	-0.814071645214521	0.00107293864398944	0.103132035986907	16
HOXA11-AS	0.721048202640952	0.00109098204715494	0.104238633853582	16
DLGAP4	0.424407235579435	0.00109292345813079	0.104238633853582	16
DUOXA1	-1.61073497161292	0.00111927828320812	0.106340079980318	16
GLI2	0.490335483762481	0.00112928084951951	0.106877745631256	16
LINC01524	3.17227884658488	0.00114306692367325	NA	16
PFKP	0.331739930665044	0.00115058867538022	0.107709627565562	16
SSPN	-0.397921433310695	0.00115135407491112	0.107709627565562	16
UNC5C	-2.00047373187097	0.00115169873013211	0.107709627565562	16
MARK1	-0.445603240165291	0.001158015185265	0.107709627565562	16
IGKC	1.41286677232943	0.00115995656946698	0.107709627565562	16
TULP3	-0.249879685503507	0.0011799720399323	0.109156285663963	16
PRKAR1B-AS1	0.810679384091335	0.00118974349744922	0.109648008396004	16
TIMP1	0.593121651526093	0.00121119616868377	0.110816034626759	16
RPS4XP5	-0.813185880823267	0.00121142411974634	0.110816034626759	16
GPR50	-2.44880386238003	0.0012161554696978	NA	16
IGHV4-34	1.86310130785884	0.00123221072008874	0.112225647093554	16
OSBPL2	-0.188816905338055	0.00123941966236961	0.112225647093554	16
SPAG17	-0.744326511947268	0.00124859845918008	0.112225647093554	16
ADGRL2	-0.307069171999228	0.0012495432986457	0.112225647093554	16
AC093849.2	-0.546982006200662	0.00124963739194676	0.112225647093554	16
HDAC1P1	-1.34882937145417	0.00126024026336255	0.112766298765681	16
LGALS8-AS1	0.754475853533809	0.00129345273391881	0.11531880950558	16
FHOD3	-0.656266260453511	0.00130315227128087	0.115561303677078	16
BGN	0.653212399830697	0.00130556518154297	0.115561303677078	16
TET1	-0.378498088193172	0.00132797866703483	0.117123910608337	16
GRIN2C	0.672815872725832	0.00135823627126544	0.119091424780988	16
NIBAN2	0.383327190197477	0.0013652378865372	0.119091424780988	16
ZNF572	-0.42901851761177	0.00136972340996153	0.119091424780988	16
SPAG16	-0.290949652666822	0.00137069471728412	0.119091424780988	16
NRXN2	0.725163632238837	0.00138305166541264	0.119091424780988	16
TNC	0.979461968253622	0.00138619685105823	0.119091424780988	16
FBXO41	0.564832148499691	0.00138653544070158	0.119091424780988	16
SPNS3	0.877149860914438	0.00138900471053536	0.119091424780988	16
IGLC3	1.5764673509208	0.00141666902583936	0.121041578884824	16
UBAP2	-0.170840610178389	0.00142610120918053	0.121425856243271	16
LINC02554	-1.8984866547211	0.00146122671783143	0.123987606364407	16
ZNF510	-0.218517823989422	0.00147188781842983	0.124463036247776	16
ZYX	0.490993922043064	0.00149876043392696	0.125950096032463	16
NGEF	1.42680833426932	0.00149971057575127	0.125950096032463	16
CCNG2	-0.328941526378192	0.00152260807868875	0.127438153035013	16
CBR1	0.190689057374227	0.0015460608939187	0.128962442090364	16
GRK3	-0.550745383355223	0.00157817997512794	0.130981824011112	16
PLEKHA4	0.439185708008534	0.00158091606987038	0.130981824011112	16
LINC02004	1.06321011926389	0.00160890071833728	0.132746557550029	16
PHF13	-0.377337475249521	0.00161409021617901	0.132746557550029	16
TRABD2A	-0.710087520132577	0.00162012004588327	0.132746557550029	16
MYH11	0.680336671524116	0.00162801725030825	0.132746557550029	16
EEPD1	-0.428930092613772	0.0016291892705372	0.132746557550029	16
C7orf69	1.1825268653973	0.00164732358275681	0.132851921376942	16
IGKV1-12	2.26333612892299	0.00164986540650875	NA	16
RNF20	-0.19079438848	0.00165008733849557	0.132851921376942	16
ZDHHC14	0.43143751585738	0.00165169869031481	0.132851921376942	16
IGHV4-4	2.57773054294324	0.00165207818674947	0.132851921376942	16
PRDM1	0.38743558880602	0.00168790313712829	0.135290659593863	16
YES1P1	-0.69024240748756	0.00172996315855981	0.138211699489225	16
AL031429.2	-0.665077171032376	0.0017511009407897	0.13944770501622	16
FGFBP3	-0.487768568215894	0.00177383768875193	0.140426114590612	16
NUGGC	-0.78273293646748	0.0017788962632596	0.140426114590612	16
ITGB1	-0.251780294538938	0.00178050748779904	0.140426114590612	16
MUC12	1.42752512282081	0.00181476109701041	0.142670371610656	16
GABRE	-0.349725479677927	0.00183397606292741	0.143721812039665	16
PLPP3	-0.418434369696911	0.00184039786967319	0.143767207552534	16
CCN2	0.688500805673869	0.00188016288998353	0.146408760233623	16
PGM5-AS1	-1.0294498188348	0.00189390938427381	0.14701396914456	16
AL118508.2	1.49835748614931	0.0019021524393244	NA	16
DZANK1	-0.465384977373373	0.00193202509355613	0.149501073827471	16
TPD52	0.675523581222195	0.00194541251674516	0.150065096550307	16
RN7SL338P	-0.748246458971282	0.00195954004815238	0.150069230112477	16
SLC6A4	-0.797189791616823	0.00196191947189061	0.150069230112477	16
ESYT2	-0.201663091088787	0.00196488209628023	0.150069230112477	16
RECK	-0.459226120909679	0.00197409543509635	0.150069230112477	16
CTTNBP2	-0.358952634510824	0.00197595930249289	0.150069230112477	16
AC106791.2	-1.78373319972545	0.00198624208207806	NA	16
MTATP6P11	1.06317286669524	0.00200351720752867	0.151693993617409	16
MYOM1	-0.603051318470792	0.0020279658211065	0.153074094969226	16
GGT5	0.429151173067885	0.00205318780818544	0.154045569380854	16
AC022068.1	1.27787183188136	0.00206194957103894	0.154045569380854	16
LETMD1	-0.239530465094625	0.00206463391542298	0.154045569380854	16
PAGR1	0.251796334526407	0.00206587710390059	0.154045569380854	16
DISC1	0.290015306548737	0.00209004165631473	0.155226494599877	16
LINC01697	-0.418516173997372	0.00209433072731983	0.155226494599877	16
LINC02224	-1.57623019431372	0.00214354397826031	0.15821949916041	16
NUDT4	-0.205473392109819	0.00214757234606319	0.15821949916041	16
DIAPH2	-0.323530794873105	0.00215857054706668	0.15855506104976	16
MYO5A	0.358101884845578	0.00217012556615078	0.158929404185334	16
KCNQ4	0.658392574982212	0.00221178743085928	0.161499861457431	16
AC012325.1	2.65513456257607	0.0022400145723198	NA	16
MYLK	-0.240010178437456	0.00225857500688634	0.164428269806072	16
PTPRQ	-0.745529753257784	0.00226876566671541	0.16468294029754	16
DGKI	-0.823208154650481	0.00229498668159226	0.165738130052331	16
AC099677.1	-0.570871568667478	0.0022967733713108	0.165738130052331	16
AC062004.1	1.08022404250444	0.0023211716622929	0.166496693603908	16
SH3TC1	0.438556898148015	0.00232198577004507	0.166496693603908	16
RAB6B	0.44167209326038	0.00232758412645768	0.166496693603908	16
LINC01655	1.27345316646388	0.00236548649028222	0.168717466859057	16
IGLV3-25	1.66566510492321	0.00239457432733316	0.169938434268593	16
CNTFR-AS1	-0.68681944765396	0.00240031175786095	0.169938434268593	16
LINC02232	-3.46992741627853	0.00240530081625417	NA	16
AL133476.1	0.549236218297825	0.00241896652984674	0.169938434268593	16
DENND5B	-0.256773111150205	0.00241911357397697	0.169938434268593	16
ARNT	-0.145428004904018	0.00242208940622642	0.169938434268593	16
CAP2	-0.494845469592037	0.00242404155030179	0.169938434268593	16
CAPN9	-1.49437119499525	0.0024550513091764	0.171602523530923	16
CAPS2	-0.314163203951766	0.00246204539432535	0.171602523530923	16
NAALADL2	-0.290043286221823	0.0024686996923618	0.171602523530923	16
EMX2	-0.421825822777195	0.00248166381796512	0.172017750897656	16
IRX1	-0.537432198588847	0.00248979733051265	0.172096749752598	16
AL157396.1	1.84386170060913	0.00249163358193931	NA	16
STING1	0.319155498519025	0.00250687925562003	0.172792094798437	16
DHRS4-AS1	-0.288014696270252	0.0025278009235656	0.172804947723673	16
DENND1A	0.263149690072922	0.00252848259127406	0.172804947723673	16
STK17A	0.319743653400757	0.00253017159951076	0.172804947723673	16
ADIPOQ-AS1	-0.47122736053581	0.00253515609900622	0.172804947723673	16
AC092954.1	-1.35805823006646	0.00255113267016041	0.173413595620545	16
ZDHHC23	0.422237717946393	0.00256914945907139	0.173979297030059	16
BCHE	-0.79633504240015	0.00257359548579435	0.173979297030059	16
GOLGB1	-0.150073982865314	0.00260094225866222	0.175128778018794	16
USP9X	-0.164220409458907	0.00260483328950619	0.175128778018794	16
TBCK	-0.203443203959952	0.00262432293390882	0.175301533938166	16
NTNG1	0.88217780814557	0.00262647975856984	0.175301533938166	16
PTPN4	-0.380025324384206	0.00262877498367064	0.175301533938166	16
GHR	-0.339674958074067	0.00264393089043454	0.175835695732224	16
ROR2	1.11358769039403	0.00265368915279124	0.176008972999283	16
HOXB-AS3	-0.864215390406499	0.00267099111342963	0.176680318086459	16
PTCH2	0.49247811614793	0.00268226364765007	0.176950299135992	16
GDF10	0.653595148067203	0.00271095085129154	0.17836461924527	16
HOXB13	3.56968506859264	0.00273801997589568	NA	16
AC069222.1	-0.924724036714333	0.00275681371996237	0.180898440552304	16
SLC25A21	-1.12141464772092	0.00277961451316233	0.181909506184536	16
ANGPTL8	1.07285516320066	0.00279281988934873	0.182288909859958	16
AKAP7	-0.210536603690907	0.00282771951691865	0.183927714189074	16
GLRB	-0.35350193987007	0.00283287697312386	0.183927714189074	16
MRPS30-DT	-0.569347539821615	0.00285686344185994	0.184730107171122	16
LONP1	0.258195925064307	0.00286024996270157	0.184730107171122	16
PYGO1	-0.375364677763505	0.00287203152296548	0.185005444203171	16
DBX2	-0.602140281371404	0.00288072964847172	0.185074083221012	16
BATF3	0.677855957494587	0.00289465441761221	0.185074083221012	16
